name,category,is_score,joint_score,is_total_trades,is_winning_trades,is_losing_trades,is_win_rate,is_net_profit,is_profit_factor,is_expectancy,is_expectancy_dollar,is_expected_total_r,is_trades_per_month,is_max_drawdown_pct,is_sharpe,is_sortino,is_tail_loss_r,oos_total_trades,oos_winning_trades,oos_losing_trades,oos_win_rate,oos_net_profit,oos_profit_factor,oos_expectancy,oos_expectancy_dollar,oos_expected_total_r,oos_trades_per_month,oos_max_drawdown_pct,oos_sharpe,oos_sortino,oos_tail_loss_r
daily__cap125_sel30_flow8__stop2p35,daily_stop,1.086297426883621,1.0546536199338157,1270,712,558,0.5606299212598426,34199.94,1.9852349890399614,0.21550583187128547,26.92908661417323,273.69240647653254,54.90855823863636,0.09441991409890162,4.908457512186253,6.398719413295298,-1.1899494936657453,106,78,28,0.7358490566037735,2623.5100000000057,3.4833262340858586,0.5168812868169558,24.750094339622695,54.78941640259731,53.77291666666667,0.0210304167735413,7.210063651637882,10.312450663570065,-1.1629190477845628
hard__cap0p9__sel30__flow8,hard_geometry_flow,1.0345461260342164,1.0531479538506836,1216,692,524,0.569078947368421,30701.929999999982,1.9539735160041516,0.20607253097874353,25.248297697368407,250.58419767015215,52.57386363636363,0.0920291706342756,4.62358677987647,5.459648751799291,-1.160725236714884,102,77,25,0.7549019607843137,2476.8600000000047,4.047092980341021,0.497447475329272,24.282941176470633,50.73964248358575,51.743750000000006,0.013014324315355045,8.149519662158315,11.094533371588302,-1.0651564261642192
density__cap100_sel30__l20__t0p58__m0p7,failure_density,1.0303271895622461,1.0529305012027805,1230,702,528,0.5707317073170731,30922.28999999999,1.9366264076373618,0.2081838960236668,25.1400731707317,256.06619210911015,53.17915482954545,0.09769168521295943,4.667837782109383,5.550112053100393,-1.1731819249958522,102,78,24,0.7647058823529411,2500.050000000005,4.167747902992836,0.5035686695320737,24.51029411764711,51.36400429227152,51.743750000000006,0.01395737604481198,8.110044568879314,10.468467840938866,-1.0680803630687397
hard__cap0p9__sel30,hard_geometry,1.0292872098708266,1.0523897117632424,1207,694,513,0.5749792874896438,30757.959999999977,1.9626353169755844,0.2123706802088331,25.482982601491283,256.33141101206155,52.18474786931818,0.0981541651194459,4.601304027703656,5.419607312772121,-1.163571251087873,102,78,24,0.7647058823529411,2500.050000000005,4.167747902992836,0.5035686695320737,24.51029411764711,51.36400429227152,51.743750000000006,0.01395737604481198,8.110044568879314,10.468467840938866,-1.0680803630687397
hard__cap0p85__sel30__flow8,hard_geometry_flow,1.0322960461072346,1.051977912288653,1197,683,514,0.570593149540518,30512.47999999998,1.9804132502797043,0.20982080192381683,25.490793650793634,251.15549990280874,51.75239701704545,0.09339126117964706,4.7051420893569755,5.466256161750839,-1.1571502907608817,102,77,25,0.7549019607843137,2476.8600000000047,4.047092980341021,0.497447475329272,24.282941176470633,50.73964248358575,51.743750000000006,0.013014324315355045,8.149519662158315,11.094533371588302,-1.0651564261642192
daily__cap085_sel30_flow8__stop2p35,daily_stop,1.0587252272975682,1.0497829692168636,1174,675,499,0.5749574105621805,32373.629999999983,2.061559271124693,0.2186429400025483,27.57549403747869,256.6868115629917,50.75799005681818,0.09314761845541561,4.977083389111759,6.314795111572223,-1.1571537259709643,101,76,25,0.7524752475247525,2435.690000000004,4.004873053862669,0.49074616877851807,24.115742574257467,49.565363046630324,51.23645833333334,0.01525480017129432,7.898089061860166,9.344298536848893,-1.0651564261642192
daily__cap090_sel30__stop3p0,daily_stop,1.0520523027694944,1.0481491838970516,1203,697,506,0.5793848711554447,32047.819999999985,2.013882113396745,0.2201713397480039,26.639916874480452,264.8661217168487,52.011807528409086,0.09820545939762503,4.782024253035818,6.0204947540558384,-1.1605579282650285,100,76,24,0.76,2474.3100000000054,4.135133422873223,0.4997262498192665,24.743100000000055,49.97262498192665,50.72916666666667,0.01619185156010677,7.951340283843351,9.219269827023576,-1.0680803630687397
hard__cap1p0__sel30__flow8,hard_geometry_flow,1.0244483589494369,1.047897114966598,1236,696,540,0.5631067961165048,30358.95999999999,1.9179709244822098,0.20305914941813963,24.562265372168277,250.98110868082057,53.438565340909086,0.09515063440147,4.637876994781014,5.445781874657701,-1.173167021866194,102,77,25,0.7549019607843137,2476.8600000000047,4.047092980341021,0.497447475329272,24.282941176470633,50.73964248358575,51.743750000000006,0.013014324315355045,8.149519662158315,11.094533371588302,-1.0651564261642192
daily__cap090_sel30__stop2p75,daily_stop,1.0491701470825803,1.046650462939856,1199,693,506,0.5779816513761468,32099.989999999987,2.017381702400229,0.2176987485890258,26.77230191826521,261.02079955824195,51.83886718749999,0.09804429258474148,4.804566696712647,6.082388836184578,-1.161267006519318,100,76,24,0.76,2474.3100000000054,4.135133422873223,0.4997262498192665,24.743100000000055,49.97262498192665,50.72916666666667,0.01619185156010677,7.951340283843351,9.219269827023576,-1.0680803630687397
hard__cap0p85__sel30,hard_geometry,1.0163855579900716,1.04568085278525,1196,688,508,0.5752508361204013,30503.589999999982,1.9872689657940228,0.20609227252082568,25.50467391304346,246.48635793490752,51.70916193181818,0.09993367163970704,4.678858693850141,5.424043664387373,-1.1594689817436046,102,78,24,0.7647058823529411,2500.050000000005,4.167747902992836,0.5035686695320737,24.51029411764711,51.36400429227152,51.743750000000006,0.01395737604481198,8.110044568879314,10.468467840938866,-1.0680803630687397
