category,is_expectancy,is_expectancy_dollar,is_expected_total_r,is_guardrail_pass,is_losing_trades,is_max_drawdown_pct,is_net_profit,is_profit_factor,is_sharpe,is_sortino,is_tail_loss_r,is_total_trades,is_trades_per_month,is_utility,is_win_rate,is_winning_trades,name,neg_is_drawdown,neg_oos_drawdown,oos_expectancy,oos_expectancy_dollar,oos_expected_total_r,oos_losing_trades,oos_max_drawdown_pct,oos_net_profit,oos_profit_factor,oos_sharpe,oos_sortino,oos_tail_loss_r,oos_total_trades,oos_trades_per_month,oos_utility,oos_win_rate,oos_winning_trades,patch,robust_score,strict_oos_uplift
late_quality,0.11856142770062786,13.987470265324786,259.1752809535725,True,1020,0.04092189147204877,30576.609999999982,1.7497245842036737,5.188973621532622,7.158761224112443,-1.0786965534890778,2186,94.51189630681817,0.37259296213239135,0.5333943275388838,1166,r110__entry1330_late_score5_failure_m010,-0.04092189147204877,-0.013800639925938524,0.32928477444622306,18.180378787878755,43.46559022690144,59,0.013800639925938524,2399.809999999996,2.9112702192559734,6.068881255937763,11.566115593270286,-0.9853238420494347,132,66.9625,0.12694517384032472,0.553030303030303,73,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.failure_stop_to_r"": -0.1, ""param_overrides.late_entry_cutoff"": ""12:30:00"", ""param_overrides.late_entry_score_min"": 5, ""param_overrides.rvol_threshold"": 1.1}",0.21292189974254802,True
late_quality,0.12045966684996563,14.264328493647907,265.49310573732424,True,947,0.044266266127211955,31438.579999999987,1.7156028497940037,5.199514995281228,7.100753966162929,-1.07670829270507,2204,95.29012784090908,0.3925065609927665,0.5703266787658802,1257,r110__entry1330_late_score4,,,0.3266362559599448,16.53308823529409,44.42253081055249,56,0.013968742603859963,2248.4999999999964,2.5484044238158825,5.669781177533499,9.256377061123434,-0.9853238420494345,136,68.99166666666667,0.11281264667231929,0.5882352941176471,80,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.late_entry_cutoff"": ""12:30:00"", ""param_overrides.late_entry_score_min"": 4, ""param_overrides.rvol_threshold"": 1.1}",0.2107055166844758,False
rvol_time_exit,0.12498999653233529,14.639314942528728,271.85324245782925,True,1042,0.041006293279451135,31840.509999999984,1.764603047941331,5.188993946583179,6.913414650854095,-1.080588885170972,2175,94.03631036931817,0.4146637520664635,0.5209195402298851,1133,r110__entry1330_trail30_failure_m010,,,0.3260755850811552,17.510992366412196,42.715901645631334,62,0.014287830523805313,2293.939999999998,2.7362023553631407,5.899764415757368,9.443251546410945,-1.0151863864747475,131,66.45520833333333,0.0973751645220295,0.5267175572519084,69,"{""param_overrides.adaptive_trail_start_bars"": 30, ""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.failure_stop_to_r"": -0.1, ""param_overrides.rvol_threshold"": 1.1}",0.20842617016258141,False
late_quality,0.12307086810587384,14.57731696014828,265.58693337247576,True,925,0.044727524464026905,31457.84999999999,1.7318776363994643,5.2263615681542035,7.156364155163641,-1.0780856670529735,2158,93.30131392045453,0.39106279601675004,0.5713623725671918,1233,r110__entry1330_late_score5,,,0.3340606673160602,18.317265624999976,42.75976541645571,51,0.01386149528723544,2344.609999999997,2.7665172348841565,5.982250693804805,10.955103563929091,-0.9853238420494345,128,64.93333333333334,0.10885803638388726,0.6015625,77,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.late_entry_cutoff"": ""12:30:00"", ""param_overrides.late_entry_score_min"": 5, ""param_overrides.rvol_threshold"": 1.1}",0.20762970225538924,False
rvol_time_exit,0.1309049194636969,15.93634615384615,279.0892882966018,True,932,0.04320875827356281,33976.28999999999,1.7626944235741855,5.312329726572336,7.097442925497443,-1.0823090653114475,2132,92.17720170454545,0.45502872482022877,0.5628517823639775,1200,r110__entry1330_trail30,,,0.31897691605857875,17.42085271317829,41.14802217155666,56,0.015098298052896841,2247.2899999999995,2.6112493278365303,5.719095740361386,8.872137064757647,-1.0151863864747475,129,65.440625,0.06997177746126107,0.5658914728682171,73,"{""param_overrides.adaptive_trail_start_bars"": 30, ""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.rvol_threshold"": 1.1}",0.20474170903689975,False
rvol_fine,0.11460901049928662,12.892581196581194,268.1850845683307,True,1023,0.0381019504153774,30168.639999999992,1.676425995839467,5.05044121149043,5.998178628638708,-1.095592435626701,2340,101.17009943181817,0.39621777965011296,0.5628205128205128,1317,rvol_fine__0p8,,,0.27843345103303935,14.788027210884346,40.92971730185678,60,0.01066631775956129,2173.839999999999,2.56542278167442,6.561893816080799,11.00245311271802,-0.9430051842360566,147,74.571875,0.09697277115508274,0.5918367346938775,87,"{""param_overrides.rvol_threshold"": 0.8}",0.2017085241283433,False
late_quality,0.12886507337360742,15.422803368003958,260.17858314131337,True,861,0.04413500858971692,31138.639999999992,1.780329622220267,5.347129693154183,7.338007004992901,-1.0792664839265595,2019,87.29163707386363,0.3740798798684543,0.5735512630014858,1158,r110__entry1330_late_score6,,,0.3637519653127773,18.35381355932201,42.92273190690772,46,0.013727515346475263,2165.7499999999973,2.7701990273407158,6.132852284767476,10.266951414537257,-1.014431334090828,118,59.86041666666667,0.08344409380107297,0.6101694915254238,72,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.late_entry_cutoff"": ""12:30:00"", ""param_overrides.late_entry_score_min"": 6, ""param_overrides.rvol_threshold"": 1.1}",0.18516661892465644,False
rvol_time_exit,0.11520475532668219,13.390389087656525,257.59783291046136,True,1025,0.041344351859102235,29940.90999999999,1.702078008016202,5.106254463459258,6.91751527040421,-1.0773483797585495,2236,96.67365056818181,0.3605488664817748,0.5415921288014311,1211,r110__entry1330_failure_m0p15,,,0.3008260962062363,15.91172661870501,41.81482737266685,64,0.014010213762338315,2211.7299999999964,2.5500571180275675,5.810425356195271,9.394335975480386,-0.9853238420494347,139,70.51354166666667,0.08283592095119048,0.539568345323741,75,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.failure_stop_to_r"": -0.15, ""param_overrides.rvol_threshold"": 1.1}",0.180035451886895,False
rvol_trail,0.14300007211316812,15.98756320602475,265.83713405837955,True,812,0.043207097112704755,29720.880000000012,1.7874246808997674,5.282477242286403,6.629786384226156,-1.0814200477415603,1859,80.3740234375,0.36428558748204576,0.5632060247444863,1047,r110__trail_start32,-0.043207097112704755,-0.013999272283102892,0.3979764774259448,21.15628571428571,41.7875301297242,42,0.013999272283102892,2221.4099999999994,3.007455403133982,6.05874074721334,9.432601338355552,-1.0502663874012037,105,53.265625,0.07660346392064273,0.6,63,"{""param_overrides.adaptive_trail_start_bars"": 32, ""param_overrides.rvol_threshold"": 1.1}",0.1772922071671338,True
rvol_fine,0.13211130171314353,13.787585199610511,271.35661371879684,True,876,0.032268889484792285,28319.69999999999,1.723669534033143,5.176190161901927,6.497566423371125,-1.083407795704399,2054,88.80486505681817,0.3796350728035058,0.5735150925024343,1178,rvol_fine__1p0,-0.032268889484792285,-0.014449291166848536,0.32364343874921075,19.39291666666664,38.83721264990529,48,0.014449291166848536,2327.149999999997,3.0103925498462263,6.342902591154599,13.239261307703817,-0.9643282418288134,120,60.875,0.06580040785555813,0.6,72,"{""param_overrides.rvol_threshold"": 1.0}",0.1756425405873398,True
