category,complexity,complexity_adjusted_equal,is_expectancy,is_expected_total_r,is_guardrail_pass,is_max_drawdown_pct,is_net_profit,is_profit_factor,is_total_trades,is_trades_per_month,is_utility,is_win_rate,maximin_utility,name,oos_expectancy,oos_expected_total_r,oos_max_drawdown_pct,oos_net_profit,oos_profit_factor,oos_strict_uplift,oos_total_trades,oos_trades_per_month,oos_utility,oos_win_rate,patch,weighted_65_35,weighted_equal
boundary_resolution,3,0.383999589307762,0.18934756438166844,253.72573627143572,True,0.1263227687576146,31864.47,1.8828112013192106,1340,57.93501420454545,0.3040068084250317,0.5514925373134328,0.3040068084250317,boundary__rvol1p65__or9__trail0p04,0.4857957932591341,51.980149878727346,0.019183692401251472,2636.2200000000043,3.385503574337172,True,107,54.280208333333334,0.4719923701904923,0.7102803738317757,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 9, ""param_overrides.rvol_threshold"": 1.65}",0.4131974235725811,0.387999589307762
boundary_resolution,3,0.38331729532576214,0.21071127532198924,266.5497632823164,True,0.1216539905373653,30965.25,1.9239797439255497,1265,54.69238281249999,0.32336754279171237,0.5604743083003952,0.32336754279171237,boundary__rvol1p75__or9__trail0p04,0.4857440351421726,51.003123689928124,0.019733978109992677,2587.1100000000065,3.380264973778652,True,105,53.265625,0.4512670478598119,0.7142857142857143,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 9, ""param_overrides.rvol_threshold"": 1.75}",0.40650222108597706,0.38731729532576215
boundary_resolution,3,0.37997859530036726,0.20528533415618738,265.2286517297941,True,0.11942598939286705,31031.81,1.8911238273991242,1292,55.85973011363636,0.3211895230686928,0.554953560371517,0.3211895230686928,boundary__rvol1p7__or9__trail0p04,0.46349518162445863,50.52097479706599,0.01971434232772144,2611.150000000008,3.347164417916903,True,109,55.29479166666667,0.44676766753204167,0.7064220183486238,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 9, ""param_overrides.rvol_threshold"": 1.7}",0.40281531696986955,0.38397859530036726
boundary_resolution,3,0.3690579093112508,0.17318204872568352,235.87395036438096,True,0.12472688769162957,32418.559999999998,1.8892495053638496,1362,58.88618607954545,0.27556001260917334,0.5462555066079295,0.27556001260917334,boundary__rvol1p65__or10__trail0p04,0.484820694552828,51.875814317152596,0.019188241338486095,2635.640000000005,3.3849787349561202,True,107,54.280208333333334,0.4705558060133283,0.7102803738317757,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 10, ""param_overrides.rvol_threshold"": 1.65}",0.4023072783218741,0.3730579093112508
boundary_resolution,3,0.3669049846324285,0.19073026729382345,245.85131454173842,True,0.11895271903125959,31729.11999999999,1.936765815631816,1289,55.73002485795454,0.2915252537179329,0.5570209464701319,0.2915252537179329,boundary__rvol1p75__or10__trail0p04,0.48475036312717507,50.89878812835338,0.019734283111358764,2589.1100000000065,3.3821050694636274,True,105,53.265625,0.4502847155469241,0.7142857142857143,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 10, ""param_overrides.rvol_threshold"": 1.75}",0.3947189039067772,0.3709049846324285
boundary_resolution,3,0.35876365112520753,0.1812207317027095,239.57380731098195,True,0.1171481322098369,31854.539999999994,1.9045640608427856,1322,57.15678267045454,0.28018911919968553,0.5514372163388804,0.28018911919968553,boundary__rvol1p7__or10__trail0p04,0.4625379746375342,50.41663923549123,0.019719010746230222,2610.5700000000074,3.3466430555430864,True,109,55.29479166666667,0.44533818305072953,0.7064220183486238,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 10, ""param_overrides.rvol_threshold"": 1.7}",0.38753601070286414,0.36276365112520753
boundary_resolution,3,0.34753770263711914,0.19232032029025922,236.55399395701883,True,0.1233233724395616,29752.11999999999,1.9037346641839776,1230,53.17915482954545,0.2433187565653495,0.5642276422764227,0.2433187565653495,boundary__rvol1p8__or9__trail0p04,0.5070395084579375,52.22506937116757,0.019739625473586438,2537.890000000007,3.3429776862785077,True,103,52.251041666666666,0.45975664870888877,0.7281553398058253,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 9, ""param_overrides.rvol_threshold"": 1.8}",0.38400338645865006,0.35153770263711914
boundary_resolution,3,0.33843164542052767,0.17796851018146914,222.81657474719935,True,0.12098198458447704,30777.65999999999,1.9268986378252175,1252,54.13032670454545,0.22928647986598025,0.560702875399361,0.22928647986598025,boundary__rvol1p8__or10__trail0p04,0.5087003877845512,51.88743955402422,0.019744320997549736,2538.5000000000073,3.3435408377108513,True,102,51.743750000000006,0.4555768109750751,0.7254901960784313,"{""param_overrides.adaptive_trail_late_distance_r"": 0.04, ""param_overrides.opening_range_bars"": 10, ""param_overrides.rvol_threshold"": 1.8}",0.3763751950868919,0.3424316454205277
boundary_resolution,3,0.3335387760850057,0.18173679228567155,242.25514411680018,True,0.13024287023014366,30072.290000000005,1.851625413036608,1333,57.63236860795454,0.255125288800172,0.5506376594148538,0.255125288800172,boundary__rvol1p65__or9__trail0p06,0.4544528782112296,49.53536372502403,0.019320785901557766,2517.3200000000024,3.28065629614866,True,109,55.29479166666667,0.41995226336983943,0.7064220183486238,"{""param_overrides.adaptive_trail_late_distance_r"": 0.06, ""param_overrides.opening_range_bars"": 9, ""param_overrides.rvol_threshold"": 1.65}",0.3622628222704558,0.3375387760850057
boundary_resolution,3,0.33236332904286064,0.18529875726035597,243.48256704010774,True,0.12033577149665754,29896.789999999975,1.8672181296476562,1314,56.81090198863636,0.26134871075643457,0.5517503805175038,0.26134871075643457,boundary__rvol1p7__or10__trail0p06,0.4555391799928936,49.19823143923251,0.019907605108893993,2504.090000000005,3.2538658169970076,True,108,54.7875,0.41137794732928673,0.7129629629629629,"{""param_overrides.adaptive_trail_late_distance_r"": 0.06, ""param_overrides.opening_range_bars"": 10, ""param_overrides.rvol_threshold"": 1.7}",0.3588677145287885,0.33636332904286065
