window_start,window_end,trades,pnl_dollars,net_return_pct_on_initial,avg_r,win_rate,excellent_trades,excellent_rate,low_mfe_loss_rate,right_then_lost_rate,qqq_trades,qqq_pnl_dollars,qqq_avg_r,qqq_excellent_trades,gld_trades,gld_pnl_dollars,gld_avg_r,gld_excellent_trades
2021-05-01,2021-11-01,17,-3306.7900000000554,-3.3067900000000554,0.05358026628731097,0.5294117647058824,9,0.5294117647058824,0.35294117647058826,0.11764705882352941,3,2735.170000000079,0.47016617842768743,2,14,-6041.960000000135,-0.03568814345705546,7
2021-06-01,2021-12-01,18,8059.629999999628,8.059629999999627,0.4725770749175627,0.6111111111111112,11,0.6111111111111112,0.2777777777777778,0.1111111111111111,3,2735.170000000079,0.47016617842768743,2,15,5324.459999999548,0.4730592542155377,9
2021-07-01,2022-01-01,23,1029.9399999996958,1.0299399999996957,0.21156677758370793,0.5217391304347826,12,0.5217391304347826,0.391304347826087,0.08695652173913043,5,-2512.7299999998586,-0.12642056035618515,2,18,3542.6699999995567,0.30545214923367814,10
2021-08-01,2022-02-01,19,8413.179999999837,8.413179999999837,0.3723077305755136,0.5789473684210527,11,0.5789473684210527,0.42105263157894735,0.0,6,1212.9300000001886,0.11217289935944075,3,13,7200.249999999648,0.4923699603675471,8
2021-09-01,2022-03-01,19,6344.299999999729,6.34429999999973,0.2087599819812686,0.5263157894736842,10,0.5263157894736842,0.47368421052631576,0.0,5,-1341.569999999896,-0.18323641918960437,2,14,7685.869999999626,0.34875869668515186,8
2021-10-01,2022-04-01,21,19808.18999999979,19.808189999999794,0.4516576563102251,0.5714285714285714,12,0.5714285714285714,0.42857142857142855,0.0,7,4921.850000000117,0.3480290942138874,4,14,14886.339999999673,0.5034719373583939,8
2021-11-01,2022-05-01,20,16276.459999999644,16.276459999999645,0.3129532658564383,0.5,10,0.5,0.5,0.0,5,4741.180000000122,0.5229849232637631,3,15,11535.279999999522,0.24294271338732992,7
2021-12-01,2022-06-01,17,8707.779999999926,8.707779999999927,0.049523136120726084,0.47058823529411764,8,0.47058823529411764,0.5294117647058824,0.0,5,4741.180000000122,0.5229849232637631,3,12,3966.5999999998057,-0.14775260852220604,5
2022-01-01,2022-07-01,18,28609.05999999977,28.60905999999977,0.8289586093603019,0.6666666666666666,11,0.6111111111111112,0.3333333333333333,0.0,4,18085.570000000007,1.6750535646763072,4,14,10523.489999999761,0.5872171935557288,7
2022-02-01,2022-08-01,19,26071.399999999336,26.071399999999333,0.7347760263534532,0.5789473684210527,10,0.5263157894736842,0.3684210526315789,0.05263157894736842,3,14359.909999999962,1.7983580202558862,3,16,11711.489999999372,0.5353544024967468,7
2022-03-01,2022-09-01,19,26184.919999999383,26.184919999999384,0.8567980889686223,0.631578947368421,11,0.5789473684210527,0.3157894736842105,0.05263157894736842,3,14359.909999999962,1.7983580202558862,3,16,11825.009999999424,0.6802556018522604,8
2022-04-01,2022-10-01,17,9412.769999999315,9.412769999999316,0.36296106207526363,0.47058823529411764,7,0.4117647058823529,0.47058823529411764,0.058823529411764705,2,12917.329999999874,1.7873720496206276,2,15,-3504.5600000005575,0.17303959706921518,5
2022-05-01,2022-11-01,18,12498.849999999376,12.498849999999377,0.48938993997020613,0.5555555555555556,9,0.5,0.3888888888888889,0.05555555555555555,2,12917.329999999874,1.7873720496206276,2,16,-418.48000000049615,0.3271421762639034,7
2022-06-01,2022-12-01,24,20357.98999999902,20.357989999999017,11.852198938605177,0.5833333333333334,13,0.5416666666666666,0.3333333333333333,0.08333333333333333,2,12917.329999999874,1.7873720496206276,2,22,7440.65999999915,12.767183201240135,11
2022-07-01,2023-01-01,19,7741.689999999098,7.741689999999098,14.431715972169648,0.5263157894736842,10,0.5263157894736842,0.3684210526315789,0.10526315789473684,1,4820.839999999925,1.53205579391883,1,18,2920.849999999173,15.148363759850245,9
2022-08-01,2023-02-01,15,7543.3799999994135,7.543379999999414,18.348717558822667,0.6,9,0.6,0.3333333333333333,0.06666666666666667,1,4820.839999999925,1.53205579391883,1,14,2722.5399999994893,19.549907684887224,8
2022-09-01,2023-03-01,13,8862.679999999458,8.862679999999457,21.190342818786306,0.6153846153846154,8,0.6153846153846154,0.3076923076923077,0.07692307692307693,1,4820.839999999925,1.53205579391883,1,12,4041.839999999535,22.828533404191926,7
2022-10-01,2023-04-01,14,16506.909999999523,16.50690999999952,19.314228428892555,0.7142857142857143,10,0.7142857142857143,0.14285714285714285,0.14285714285714285,1,5741.330000000117,1.2949441621933977,1,13,10765.579999999407,20.700327218638645,9
2022-11-01,2023-05-01,11,16040.049999999605,16.040049999999603,24.555444673429164,0.7272727272727273,8,0.7272727272727273,0.09090909090909091,0.18181818181818182,1,5741.330000000117,1.2949441621933977,1,10,10298.719999999486,26.881494724552738,7
2022-12-01,2023-06-01,7,3478.7499999998986,3.4787499999998985,-1.4507339989545598,0.5714285714285714,4,0.5714285714285714,0.2857142857142857,0.14285714285714285,1,5741.330000000117,1.2949441621933977,1,6,-2262.5800000002187,-1.908347025812553,3
2023-01-01,2023-07-01,9,-1487.350000000176,-1.4873500000001758,-1.5641739463330935,0.3333333333333333,3,0.3333333333333333,0.5555555555555556,0.1111111111111111,1,5741.330000000117,1.2949441621933977,1,8,-7228.680000000292,-1.921563709898905,2
2023-02-01,2023-08-01,10,-5453.110000000268,-5.453110000000268,-1.6106468227613338,0.3,3,0.3,0.6,0.1,1,5741.330000000117,1.2949441621933977,1,9,-11194.440000000384,-1.9334902655340815,2
2023-03-01,2023-09-01,13,3669.379999999902,3.669379999999902,-1.2007488549895775,0.3076923076923077,4,0.3076923076923077,0.6153846153846154,0.07692307692307693,3,15890.180000000215,1.0246341936888765,2,10,-12220.800000000312,-1.868363769593114,2
2023-04-01,2023-10-01,12,-7104.160000000144,-7.104160000000144,-1.2346089699109983,0.08333333333333333,1,0.08333333333333333,0.8333333333333334,0.08333333333333333,2,10148.850000000099,0.8894792094366162,1,10,-17253.010000000242,-1.6594266057805211,0
2023-05-01,2023-11-01,13,-5587.180000000135,-5.587180000000135,-1.0858849521602598,0.15384615384615385,2,0.15384615384615385,0.7692307692307693,0.07692307692307693,3,11665.830000000107,0.8259205599072779,2,10,-17253.010000000242,-1.6594266057805211,0
2023-06-01,2023-12-01,12,-850.9400000001152,-0.8509400000001153,-0.7899641466928582,0.25,3,0.25,0.6666666666666666,0.08333333333333333,4,11699.910000000065,0.6233556260371665,3,8,-12550.85000000018,-1.4966240330578704,0
2023-07-01,2024-01-01,13,5746.619999999884,5.746619999999885,-0.4199163240783899,0.38461538461538464,5,0.38461538461538464,0.5384615384615384,0.07692307692307693,4,11699.910000000065,0.6233556260371665,3,9,-5953.290000000181,-0.8835927463519706,2
2023-08-01,2024-02-01,17,16009.040000000112,16.009040000000113,0.1347017542087605,0.5294117647058824,9,0.5294117647058824,0.4117647058823529,0.058823529411764705,4,11699.910000000065,0.6233556260371665,3,13,4309.130000000045,-0.01565328327690281,6
2023-09-01,2024-03-01,18,1201.0099999998492,1.2010099999998491,0.00037477090991052303,0.5,8,0.4444444444444444,0.4444444444444444,0.05555555555555555,2,1551.0599999999672,0.3572320426377169,2,16,-350.0500000001182,-0.044232388056065275,6
2023-10-01,2024-04-01,17,5337.819999999701,5.337819999999701,0.30537892420564955,0.5882352941176471,9,0.5294117647058824,0.4117647058823529,0.0,2,1551.0599999999672,0.3572320426377169,2,15,3786.7599999997337,0.29846517508137393,7
2023-11-01,2024-05-01,17,14652.959999999679,14.652959999999679,0.5801881190162845,0.5882352941176471,9,0.5294117647058824,0.4117647058823529,0.0,1,34.07999999995867,0.015660824426832785,1,16,14618.879999999719,0.6154710749281253,8
2023-12-01,2024-06-01,17,22844.63999999973,22.844639999999732,0.7689136997177182,0.5882352941176471,9,0.5294117647058824,0.4117647058823529,0.0,0,0.0,0.0,0,17,22844.63999999973,0.7689136997177182,9
2024-01-01,2024-07-01,16,21251.8399999998,21.2518399999998,0.9492263388730703,0.625,9,0.5625,0.375,0.0,0,0.0,0.0,0,16,21251.8399999998,0.9492263388730703,9
2024-02-01,2024-08-01,11,14955.179999999667,14.955179999999668,0.8606983725469655,0.5454545454545454,5,0.45454545454545453,0.45454545454545453,0.0,0,0.0,0.0,0,11,14955.179999999667,0.8606983725469655,5
2024-03-01,2024-09-01,8,22419.009999999726,22.419009999999727,1.4894499243944983,0.75,6,0.75,0.25,0.0,0,0.0,0.0,0,8,22419.009999999726,1.4894499243944983,6
