name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score,early_expected_total_r,early_trades_per_month,early_r_ratio,late_expected_total_r,late_trades_per_month,late_r_ratio,segment_floor,stress_expected_total_r,stress_profit_factor,stress_max_drawdown_pct,stress_r_delta,stress_dd_ratio,both_is_halves_90pct,stress_improved,validation_score
combo__entry_expansion__capacity,orthogonal_combination,279.72623599587394,38963.22999999999,62.08558238636363,1.8365130431328847,0.10572132636137595,50.47215982990534,2864.110000000009,59.353125000000006,2.939337102617071,0.028153881749153307,True,True,False,1.0490614578740645,78.97847817666535,54.35267857142858,1.1941643569512346,197.73189323123478,69.85361356932154,0.9954915610061064,0.9954915610061064,-13.78388021699326,0.6481441292138527,0.10700500000000011,3.777095275991293,0.8697896345428597,True,True,1.4091772209121938
reclaim__or_pdh_avwap__default,entry_expansion,262.1370221631618,32400.59999999999,59.31853693181818,1.836361862295569,0.10156112167284755,45.70640517319321,2753.560000000007,54.280208333333334,3.366272224943514,0.020208005053278123,True,True,False,0.9886854679503805,73.5213870076863,51.25875686813187,1.1116524636218756,190.82160568974942,67.2498156342183,0.9607013568601844,0.9607013568601844,-12.67902614865135,0.6492431434506771,0.10012599999999984,4.881949344333204,0.8138737156977537,True,True,1.3836512684338302
combo_balanced__geom115__selection30__flow8__mfeoff,balanced_geometry_combination,250.3607377462192,30637.62000000001,55.686789772727266,1.8770392245042722,0.10424570468132412,55.58849752004373,2682.8300000000054,54.280208333333334,3.60102767948035,0.018876524369656894,True,True,False,1.023935339932113,62.645413156345256,46.57606456043956,0.9472063940058822,187.77300240312428,64.46644542772862,0.9453530041230681,0.9453530041230681,-15.78810670750305,0.5348715576898964,0.10760700000000015,1.7728687854815028,0.8746829886851412,True,True,1.2840133616701275
combo_balanced__geom115__selection30__flow8,balanced_geometry_combination,249.31515433817475,30671.010000000002,55.73002485795454,1.878609499441111,0.10424570468132412,55.58849752004373,2682.8300000000054,54.280208333333334,3.60102767948035,0.018876524369656894,True,True,False,1.0235925751270392,62.645413156345256,46.57606456043956,0.9472063940058822,185.5786317332024,64.46644542772862,0.9343053301847423,0.9343053301847423,-15.78810670750305,0.5348715576898964,0.10760700000000015,1.7728687854815028,0.8746829886851412,True,True,1.2820134457743046
combo__signal_geometry__selection_expansion,orthogonal_combination,253.74065026451171,30787.710000000003,55.42737926136363,1.8851909109806626,0.109822364209112,57.04332195157073,2722.250000000007,53.77291666666667,3.704884640607311,0.019791342629535875,True,True,False,1.0373681783650426,62.01071525336497,46.49244505494506,0.93760968322253,188.60252316952457,64.19708702064898,0.9495292698186841,0.93760968322253,-16.336839314052398,0.5224084974067057,0.11335300000000025,1.2241361789321559,0.9213893224086434,True,True,1.2744515414966426
combo__capacity__signal_quality_sizing,orthogonal_combination,271.2931918338883,33700.84,58.62677556818181,1.8787418607586088,0.1143820221040238,51.581033491824876,2798.650000000008,56.81666666666667,3.2966108649269814,0.022120537498532735,True,True,True,1.0325438166606375,58.76023967305669,50.84065934065934,0.8884620904762903,204.36129945050078,66.89067109144544,1.0288676534407395,0.8884620904762903,-16.498906527467298,0.534127219491005,0.11153599999999969,1.0620689655172555,0.9066198465340127,False,True,1.2597392715248081
combo__signal_geometry__signal_quality_sizing__selection_expansion,orthogonal_combination,253.08037567889488,28817.03,55.90296519886363,1.8931779832801665,0.10429212491353987,57.10063375261731,2529.340000000006,55.802083333333336,3.655781770073194,0.018713420114475257,True,True,False,1.023951018421892,62.6198431468774,46.910542582417584,0.9468197723005979,183.40901941080782,64.9153761061947,0.9233823034422992,0.9233823034422992,-16.436012867771403,0.5421125017191571,0.09987899999999991,1.1249626252131506,0.8118659773702734,True,True,1.2547978575617929
capacity__leverage_3p0,capacity,269.18590279033003,36208.93,58.58354048295454,1.87343270160163,0.12333564865347667,50.22923691044169,2833.5100000000093,55.802083333333336,3.124787222076428,0.025237244077110733,True,True,False,1.0233767994763527,59.57246457930737,50.50618131868132,0.9007430315030723,203.40552831610356,66.44174041297936,1.024055773662534,0.9007430315030723,-16.498906527467298,0.5269942613917077,0.12446199999999953,1.0620689655172555,1.0116887761737572,True,False,1.25123869941173
quality__size_floor_0p7,signal_quality_sizing,268.126823803596,29009.829999999994,56.162375710227266,1.8929426032461314,0.11197563064339137,51.9768248795598,2568.5300000000066,56.309375,3.490695757575774,0.018448047436356477,True,True,False,1.0070900394994267,69.90661547788523,48.24845467032967,1.0569966710684315,196.90643290448665,63.748156342182895,0.991335737806345,0.991335737806345,-16.498906527467298,0.5413222439826706,0.10820300000000006,1.0620689655172555,0.8795275718559039,True,True,1.2511229923444902
combo__selection_expansion__signal_quality_sizing,orthogonal_combination,263.18423995368414,29814.330000000005,57.54589843749999,1.8790200629818838,0.11235950471561458,54.966722104822615,2560.450000000006,56.81666666666667,3.4788463772605938,0.018689886862533218,True,True,False,1.0225798218371158,59.754874250546834,48.415693681318686,0.9035010882900125,196.19432249559867,66.80088495575222,0.9877505806980601,0.9035010882900125,-16.498906527467298,0.5413222439826706,0.10820300000000006,1.0620689655172555,0.8795275718559039,True,True,1.249975272736211
geometry__entry_range_cap_1p15,signal_geometry,242.1573505395916,30088.829999999994,54.47620738636363,1.899836175000269,0.11013778283402847,55.15992233143081,2633.2900000000063,53.77291666666667,3.667757425943197,0.01968108473322251,True,True,False,1.013069799954507,60.960654251929,46.659684065934066,0.9217326310244055,183.8258650972951,61.86264749262538,0.9254809348586008,0.9217326310244055,-16.336839314052398,0.5224084974067057,0.11335300000000025,1.2241361789321559,0.9213893224086434,True,True,1.2465691885083843
combo_balanced__selection30__flow8,balanced_geometry_combination,255.65573345400637,31699.06,57.32972301136363,1.869192518141847,0.11371949581328096,56.29197988724759,2757.080000000006,56.81666666666667,3.535642353287421,0.01887807170957054,True,True,False,1.0434785656384975,57.0396423794688,47.99759615384615,0.862446446618563,195.4116857403298,66.53152654867257,0.9838103550092673,0.862446446618563,-17.012242886435203,0.5353691919654778,0.1166069999999998,0.5487326065493505,0.9478394459617677,False,True,1.2439853546437194
quality__hard_min_55p0,signal_quality,241.86556647530085,30576.140000000003,54.08709161931818,1.91568605313147,0.10532392942066325,48.556319073279276,2463.6900000000064,52.75833333333333,3.2074492867894886,0.01884230976289105,True,True,False,0.9565278806530201,54.52686037838065,46.82692307692308,0.8244528720174429,186.0901644271724,61.77286135693216,0.9368806682938572,0.8244528720174429,-14.711322944150824,0.5407182020335759,0.10822700000000005,2.8496525488337294,0.8797226557419748,False,True,1.2410259468236786
reclaim__or_pdh__default,entry_expansion,267.75869198288484,32422.060000000005,60.52911931818181,1.82548388435507,0.11157122574538655,44.28215942424151,2635.180000000006,55.29479166666667,3.326643769700086,0.0143372148171954,True,True,False,0.9800111470562616,81.33008179449327,52.93114697802198,1.2297208944652402,189.47688817092987,67.42938790560473,0.9539313061615019,0.9539313061615019,-16.182960906566308,0.5978469443036646,0.11505799999999908,1.3780145864182458,0.9352484068149287,True,True,1.2397074711604787
combo__signal_geometry__score_discrimination,orthogonal_combination,243.6777587898256,30510.549999999992,54.735617897727266,1.9052248720810654,0.1083561907703188,54.50206951206158,2617.260000000006,53.265625,3.6802732234841224,0.01968037690965932,True,True,False,1.0106938569520225,57.308864810118585,46.82692307692308,0.8665171230635382,186.4919454323957,61.59328908554573,0.9389034557842122,0.8665171230635382,-16.336839314052398,0.5330480246413083,0.11172900000000027,1.2241361789321559,0.9081886461178384,False,True,1.23658204535805
quality__size_floor_0p7__risk_0p00723,quality_risk_restore,255.86394392274218,29813.849999999995,56.07590553977272,1.8942122455565849,0.11560212719599089,50.5598394515088,2616.690000000007,55.29479166666667,3.4581168800669015,0.0186221645653249,True,True,False,0.995748613315193,60.63097828223956,48.49931318681319,0.916747889593128,198.4944342884747,63.83794247787611,0.9993306138518468,0.916747889593128,-16.498906527467298,0.5366557485799573,0.11175399999999991,1.0620689655172555,0.9083918584991595,True,True,1.2257100860674448
