category,is_evaluated,is_expectancy,is_expectancy_dollar,is_expected_total_r,is_guardrail_pass,is_losing_trades,is_max_drawdown_pct,is_net_profit,is_profit_factor,is_sharpe,is_sortino,is_tail_loss_r,is_total_trades,is_trades_per_month,is_win_rate,is_winning_trades,name,oos_expectancy,oos_expectancy_dollar,oos_expected_total_r,oos_losing_trades,oos_max_drawdown_pct,oos_net_profit,oos_profit_factor,oos_sharpe,oos_sortino,oos_strict_uplift,oos_tail_loss_r,oos_total_trades,oos_trades_per_month,oos_utility,oos_win_rate,oos_winning_trades,stage
atomic_counterfactual,True,0.11021249069445825,10.59122832369942,152.53408712113023,False,617,0.16614695994135506,14658.259999999997,1.4509456832053553,2.8859929777589346,3.016183680864266,-1.2013460358789714,1384,59.83735795454545,0.5541907514450867,767,ablate__use_combined_quality_gate,0.3244214399701491,25.527345132743324,36.65962271662685,33,0.009364999999999964,2884.5899999999956,3.4179295892707438,7.390238271357773,15.931080980799138,True,-1.1240964093701442,113,57.32395833333334,0.3466397578333848,0.7079646017699115,80,ablation
atomic_counterfactual,True,0.14876423147295934,15.7579911699779,202.17059057175175,False,636,0.1336430871954424,21415.109999999968,1.6172193366922103,3.6077938751393837,4.036057264039928,-1.2232459196535694,1359,58.75648082386363,0.5320088300220751,723,ablate__rvol_threshold,0.41699333987469134,23.393240740740744,45.035280706466665,33,0.025126626364827924,2526.4700000000003,3.0123698694512835,6.425003442169674,9.849859235819382,True,-1.1842841789116103,108,54.7875,0.3357724593295794,0.6944444444444444,75,ablation
atomic_counterfactual,True,0.14202622739147122,14.71476982097185,222.129019640261,False,719,0.16632890782647924,23013.899999999972,1.6284998930830017,3.7837079957064157,4.649156776769287,-1.2504672853303611,1564,67.61967329545455,0.5402813299232737,845,ablate__or_width_min_pct,0.43326946515788745,23.886764705882353,44.19348544610452,34,0.018817098386127017,2436.45,2.8635557051291887,6.131243839742143,12.372504257225003,True,-1.1774689694186442,102,51.743750000000006,0.32342171353871674,0.6666666666666666,68,ablation
atomic_counterfactual,True,0.14202622739147122,14.71476982097185,222.129019640261,False,719,0.16632890782647924,23013.899999999972,1.6284998930830017,3.7837079957064157,4.649156776769287,-1.2504672853303611,1564,67.61967329545455,0.5402813299232737,845,ablate__use_or_width_min,0.43326946515788745,23.886764705882353,44.19348544610452,34,0.018817098386127017,2436.45,2.8635557051291887,6.131243839742143,12.372504257225003,True,-1.1774689694186442,102,51.743750000000006,0.32342171353871674,0.6666666666666666,68,ablation
atomic_parameter_grid,True,0.18105810047236875,18.13318803418801,211.83797755267145,False,515,0.14505231798428672,21215.829999999973,1.7304443778812941,3.788717359902806,4.090414901570615,-1.2130157633615728,1170,50.585049715909086,0.5598290598290598,655,perturb__rvol_threshold__1p8,0.42929924026332905,22.974607843137267,43.788522506859564,30,0.020738420694172616,2343.410000000001,3.0150218836255522,6.1813059967443955,9.9607731926652,True,-1.166839347468267,102,51.743750000000006,0.3075898272192108,0.7058823529411765,72,perturbation
atomic_parameter_grid,True,0.1379807622163797,13.60514435695536,157.712011213322,False,505,0.13202289521111715,15550.679999999977,1.5640427072285703,3.1720929716592603,3.335113207956139,-1.2100654343499182,1143,49.41770241477273,0.558180227471566,638,perturb__combined_avwap_cap_pct__0p005,0.38344578301037535,21.63220000000003,38.34457830103754,31,0.0174567576254357,2163.220000000003,2.9609659698678388,6.0427885754209685,12.831332030507077,True,-1.166839347468267,100,50.72916666666667,0.21889475199259606,0.69,69,perturbation
atomic_counterfactual,True,0.11009119796307898,11.410170015455957,142.4580101642242,False,572,0.1632325654368602,14764.76000000001,1.4852841316576053,2.9376548092209607,3.070513061720008,-1.2054457996012233,1294,55.94620028409091,0.5579598145285936,722,ablate__combined_avwap_cap_pct,0.3148720631258565,22.150185185185162,34.0061828175925,35,0.013708507966120437,2392.2199999999975,2.9530239696949896,6.570823703602925,11.539584352473934,True,-1.1507711715640245,108,54.7875,0.2089317179591159,0.6759259259259259,73,ablation
weakness_targeted,True,0.14314485051028697,14.700075885328818,169.76979270520036,False,520,0.14402215391873904,17434.28999999998,1.5893455108195862,3.398927788988666,3.632263493119618,-1.207584845969164,1186,51.27681107954545,0.5615514333895447,666,target__combined_rvol22_cap005_score5,0.36671697435581496,19.351250000000025,38.138565333004756,32,0.01872226733563427,2012.5300000000025,2.8022441523086346,5.744789609547089,11.35586979076136,True,-1.166839347468267,104,52.75833333333333,0.18672953710227277,0.6923076923076923,72,targeted
pairwise_robust_singles,True,0.1656631766780416,17.63845462713385,184.3831156426603,True,498,0.1235212696301773,19631.599999999977,1.7149401946459957,3.6963853408595058,4.070474505722419,-1.2121447777471668,1113,48.12064985795454,0.5525606469002695,615,combo__target__rvol190_pdh090__plus__target__rvol190_failstop8,0.37494742217346044,21.703505154639206,36.36989995082566,34,0.017268681943738675,2105.240000000003,2.6282958597272894,5.328288924128853,9.408770305773043,True,-1.174666400452549,97,49.20729166666667,0.16993590225879632,0.6494845360824743,63,combination
pairwise_robust_singles,True,0.1683959642290923,18.564451495920196,185.7407485446888,False,473,0.13523937355663523,20476.589999999975,1.7446818028082953,3.7470476598616673,4.019607434881102,-1.2140309160177423,1103,47.68829900568181,0.57116953762466,630,combo__target__rvol190_pdh090__plus__target__rvol190_failstop12,0.3913418062648419,22.45276595744681,36.78612978889514,31,0.02188894599471674,2110.5600000000004,2.6682818094869263,5.317630164967459,8.875635391246158,True,-1.174666400452549,94,47.68541666666667,0.16445224155986496,0.6702127659574468,63,combination
