[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 34/893 native_targeted/target_tp2_off_2.25_p15 score=-1.727 IS=177 +77.1R PF=2.11 OOS=7 +3.2R PF=2.07 strict=False repair=False
[alpha-repair] 35/893 native_targeted/target_tp2_off_2.75_p15 score=-2.071 IS=177 +76.3R PF=2.08 OOS=7 +3.0R PF=2.00 strict=False repair=False
[alpha-repair] 36/893 native_targeted/target_mfe_tiers_balanced score=+0.422 IS=165 +80.2R PF=2.10 OOS=7 +5.2R PF=2.74 strict=False repair=False
[alpha-repair] 37/893 native_targeted/target_mfe_tiers_loose_high score=+0.729 IS=164 +79.0R PF=2.09 OOS=7 +5.8R PF=2.92 strict=False repair=False
[alpha-repair] 38/893 native_targeted/target_mfe_tiers_fast_lock score=+1.411 IS=164 +79.4R PF=2.09 OOS=7 +5.7R PF=2.88 strict=False repair=True
[alpha-repair] 39/893 native_targeted/target_tp2_mfe_balanced score=-1.531 IS=178 +77.9R PF=2.10 OOS=7 +3.4R PF=2.12 strict=False repair=False
[alpha-repair] 40/893 native_targeted/target_tp2_mfe_off_cap score=-1.780 IS=178 +76.1R PF=2.08 OOS=7 +3.4R PF=2.12 strict=False repair=False
[alpha-repair] 41/893 native_targeted/target_ratchet_0.45_at_0.75 score=-1.695 IS=164 +78.5R PF=2.09 OOS=6 +3.2R PF=2.07 strict=False repair=False
[alpha-repair] 42/893 native_targeted/target_ratchet_lock_0.45 score=-2.543 IS=164 +78.8R PF=2.10 OOS=7 +2.3R PF=1.58 strict=False repair=False
[alpha-repair] 43/893 native_targeted/target_chandelier_high_tighter score=-1.826 IS=163 +81.6R PF=2.14 OOS=6 +2.6R PF=1.85 strict=False repair=False
[alpha-repair] 44/893 native_targeted/target_weak_score_context score=-2.379 IS=156 +71.5R PF=2.00 OOS=8 +3.7R PF=1.92 strict=False repair=False
