split,symbol,code,count,entry_requests,entry_fills,order_terminals,fill_per_request,terminal_per_request
train,GLD,ENTRY_FILLED,97,97,97,0,1.0,0.0
train,GLD,ENTRY_REQUESTED,97,97,97,0,1.0,0.0
train,GLD,EXIT_FILLED,3,97,97,0,1.0,0.0
train,GLD,MANAGING_POSITION,957,97,97,0,1.0,0.0
train,GLD,NO_SIGNAL,72246,97,97,0,1.0,0.0
train,GLD,PARTIAL_EXIT_FILLED,76,97,97,0,1.0,0.0
train,GLD,STOP_FILLED,94,97,97,0,1.0,0.0
train,QQQ,ENTRY_FILLED,30,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,ENTRY_PENDING,84,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,ENTRY_REQUESTED,34,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,EXIT_FILLED,1,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,MANAGING_POSITION,624,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,NO_SIGNAL,73183,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,ORDER_TERMINAL,4,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,PARTIAL_EXIT_FILLED,31,34,30,4,0.8823529411764706,0.11764705882352941
train,QQQ,STOP_FILLED,29,34,30,4,0.8823529411764706,0.11764705882352941
oos,GLD,ENTRY_FILLED,9,9,9,0,1.0,0.0
oos,GLD,ENTRY_REQUESTED,9,9,9,0,1.0,0.0
oos,GLD,EXIT_FILLED,1,9,9,0,1.0,0.0
oos,GLD,MANAGING_POSITION,46,9,9,0,1.0,0.0
oos,GLD,NO_SIGNAL,7305,9,9,0,1.0,0.0
oos,GLD,PARTIAL_EXIT_FILLED,9,9,9,0,1.0,0.0
oos,GLD,STOP_FILLED,8,9,9,0,1.0,0.0
oos,QQQ,ENTRY_FILLED,1,2,1,1,0.5,0.5
oos,QQQ,ENTRY_PENDING,29,2,1,1,0.5,0.5
oos,QQQ,ENTRY_REQUESTED,2,2,1,1,0.5,0.5
oos,QQQ,MANAGING_POSITION,19,2,1,1,0.5,0.5
oos,QQQ,NO_SIGNAL,7852,2,1,1,0.5,0.5
oos,QQQ,ORDER_TERMINAL,1,2,1,1,0.5,0.5
oos,QQQ,PARTIAL_EXIT_FILLED,1,2,1,1,0.5,0.5
oos,QQQ,STOP_FILLED,1,2,1,1,0.5,0.5
