name,stage,objective,oos_net_return_pct,oos_total_trades,oos_avg_r,oos_win_rate,oos_dollar_profit_factor,oos_max_dd_pct,delta_oos_net_return_pct,delta_oos_trades,delta_oos_avg_r,delta_oos_pf,error
combo_gld_no8_session_qqq_afternoon_only,anchor_x_session,0.74,12.497710000000195,6.0,1.1922867679190863,0.8333333333333334,9.275697438036891,2.054571254094381,8.919920000000172,-4.0,0.8088835496317299,7.912307700489164,
combo_gld_no8_signal_all_confirm_max3,anchor_x_signal,0.74,12.168360000000437,6.0,1.3123218099493439,0.8333333333333334,9.057609408212441,2.054210909698028,8.590570000000413,-4.0,0.9289185916619875,7.6942196706647135,
combo_value_hits2_session_qqq_afternoon_only,anchor_x_session,0.7384137377268197,10.654640000000247,7.0,0.8874642748509994,0.7142857142857143,4.817759001866803,3.461484110083319,7.076850000000224,-3.0,0.5040610565636432,3.4543692643190753,
combo_gld_value_hits2_session_qqq_afternoon_only,anchor_x_session,0.7384137377268197,10.654640000000247,7.0,0.8874642748509994,0.7142857142857143,4.817759001866803,3.461484110083319,7.076850000000224,-3.0,0.5040610565636432,3.4543692643190753,
combo_gld_no8_session_avoid_1030_1200,anchor_x_session,0.7360602585682882,9.614140000000218,7.0,0.8770043674797482,0.7142857142857143,3.2555061325225125,4.334369809593712,6.036350000000194,-3.0,0.4936011491923919,1.8921163949747846,
combo_gld_no8_session_avoid_1045_1145,anchor_x_session,0.7360602585682882,9.614140000000218,7.0,0.8770043674797482,0.7142857142857143,3.2555061325225125,4.334369809593712,6.036350000000194,-3.0,0.4936011491923919,1.8921163949747846,
combo_gld_no8_signal_qqq_value_hits2,anchor_x_signal,0.7354827398674777,9.70252000000028,7.0,0.8744376176983683,0.7142857142857143,3.3977264583410762,4.44734206772785,6.124730000000257,-3.0,0.49103439941101196,2.0343367207933483,
combo_gld_no8_signal_all_value_hits2,anchor_x_signal,0.725949832108167,9.325920000000304,7.0,0.8908388054346996,0.7142857142857143,3.3046595247803965,4.44734206772785,5.74813000000028,-3.0,0.5074355871473433,1.9412697872326685,
combo_value_hits2_session_gld_regular_hours,anchor_x_session,0.725949832108167,9.325920000000304,7.0,0.8908388054346996,0.7142857142857143,3.3046595247803965,4.44734206772785,5.74813000000028,-3.0,0.5074355871473433,1.9412697872326685,
combo_value_hits2_signal_gld_room35,anchor_x_signal,0.725949832108167,9.325920000000304,7.0,0.8908388054346996,0.7142857142857143,3.3046595247803965,4.44734206772785,5.74813000000028,-3.0,0.5074355871473433,1.9412697872326685,
combo_value_hits2_exit_all_t1_partial_65,anchor_x_exit,0.7136974380875846,9.338690000000337,8.0,0.7445151653432143,0.625,2.7642905857926277,4.070131954877356,5.760900000000314,-2.0,0.361111947055858,1.4009008482448997,
combo_value_hits2_exit_gld_t1_partial_65,anchor_x_exit,0.7136974380875846,9.338690000000337,8.0,0.7445151653432143,0.625,2.7642905857926277,4.070131954877356,5.760900000000314,-2.0,0.361111947055858,1.4009008482448997,
combo_t1stop040_session_qqq_afternoon_only,anchor_x_session,0.7043285956131184,9.152910000000222,8.0,0.7462245321233919,0.625,2.9092706818831173,3.461484110083319,5.575120000000199,-2.0,0.3628213138360356,1.5458809443353894,
combo_t1stop040_signal_all_confirm_max3,anchor_x_signal,0.7043285956131184,9.152910000000222,8.0,0.7462245321233919,0.625,2.9092706818831173,3.461484110083319,5.575120000000199,-2.0,0.3628213138360356,1.5458809443353894,
combo_t1stop035_session_qqq_afternoon_only,anchor_x_session,0.6991588908603301,9.078150000000212,8.0,0.7406920665554461,0.625,2.893675961059081,3.461484110083319,5.500360000000189,-2.0,0.35728884826808976,1.5302862235113532,
combo_t1stop035_signal_all_confirm_max3,anchor_x_signal,0.6991588908603301,9.078150000000212,8.0,0.7406920665554461,0.625,2.893675961059081,3.461484110083319,5.500360000000189,-2.0,0.35728884826808976,1.5302862235113532,
session_qqq_afternoon_only,session_single,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
signal_all_confirm_max3,signal_single,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_source17_session_qqq_afternoon_only,anchor_x_session,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_source17_signal_all_confirm_max3,anchor_x_signal,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_addon_off_session_qqq_afternoon_only,anchor_x_session,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_addon_off_signal_all_confirm_max3,anchor_x_signal,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_qqq_typeb_supply_session_qqq_afternoon_only,anchor_x_session,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_qqq_typeb_supply_signal_all_confirm_max3,anchor_x_signal,0.6937910521412481,9.00001000000014,8.0,0.7350676722484321,0.625,2.8773761819634314,3.461484110083319,5.422220000000117,-2.0,0.35166445396107576,1.5139864444157034,
combo_value_hits2_exit_all_t1_partial_60,anchor_x_exit,0.6811270876206735,8.857369999999952,8.0,0.7120660521570329,0.625,2.673358308915067,4.196193998469761,5.279579999999928,-2.0,0.3286628338696766,1.3099685713673392,
combo_value_hits2_exit_gld_t1_partial_60,anchor_x_exit,0.6811270876206735,8.857369999999952,8.0,0.7120660521570329,0.625,2.673358308915067,4.196193998469761,5.279579999999928,-2.0,0.3286628338696766,1.3099685713673392,
combo_value_hits2_risk_risk_stack_0275,anchor_x_risk,0.6740828037377606,9.01774999999984,8.0,0.6473899527379774,0.625,2.70062157952106,4.568408363521457,5.439959999999816,-2.0,0.2639867344506211,1.337231841973332,
combo_gld_no8_risk_qqq_risk_015,anchor_x_risk,0.6723625788204497,9.006449999999969,8.0,0.6383273463782562,0.625,2.8921272447667596,3.5760045889855263,5.428659999999946,-2.0,0.25492412809089987,1.5287375072190317,
combo_value_hits2_risk_gld_risk_0275,anchor_x_risk,0.671328079921129,8.963229999999808,8.0,0.6474469997501977,0.625,2.690339869724771,4.561302818099926,5.385439999999784,-2.0,0.2640437814628414,1.3269501321770432,
combo_value_hits2_risk_qqq_risk_015,anchor_x_risk,0.6686375293007414,8.895890000000378,8.0,0.6475689040683464,0.625,3.0238998775998542,3.5755269949236683,5.318100000000355,-2.0,0.26416568578099014,1.6605101400521263,
combo_value_hits2_session_avoid_1030_1200,anchor_x_session,0.653969439591102,8.326630000000062,6.0,0.8929825053589117,0.6666666666666666,3.983588993876294,3.461484110083319,4.748840000000039,-4.0,0.5095792870715554,2.620199256328566,
combo_value_hits2_session_avoid_1045_1145,anchor_x_session,0.653969439591102,8.326630000000062,6.0,0.8929825053589117,0.6666666666666666,3.983588993876294,3.461484110083319,4.748840000000039,-4.0,0.5095792870715554,2.620199256328566,
combo_value_hits2_signal_all_confirm_max3,anchor_x_signal,0.653969439591102,8.326630000000062,6.0,0.8929825053589117,0.6666666666666666,3.983588993876294,3.461484110083319,4.748840000000039,-4.0,0.5095792870715554,2.620199256328566,
combo_gld_value_hits2_signal_all_confirm_max3,anchor_x_signal,0.653969439591102,8.326630000000062,6.0,0.8929825053589117,0.6666666666666666,3.983588993876294,3.461484110083319,4.748840000000039,-4.0,0.5095792870715554,2.620199256328566,
combo_value_hits2_exit_t1_stop_050,anchor_x_exit,0.6486916716833904,8.473649999999907,8.0,0.6817585338688936,0.625,2.600864888148305,4.4476431412755115,4.8958599999998835,-2.0,0.29835531558153733,1.2374751506005772,
priority_pair_risk_signal_risk_stack_0225_all_confirm_max3,priority_cross_pair,0.6454657366988873,8.078560000000172,8.0,0.7352934925045984,0.625,2.7694410373225757,3.3882397746163315,4.5007700000001485,-2.0,0.3518902742172421,1.4060512997748478,
combo_value_hits2_exit_all_t1_partial_55,anchor_x_exit,0.6419255233001518,8.382269999999945,8.0,0.6797224465074932,0.625,2.5836011312691576,4.32188463997814,4.804479999999922,-2.0,0.29631922822013695,1.2202113937214296,
combo_value_hits2_exit_gld_t1_partial_55,anchor_x_exit,0.6419255233001518,8.382269999999945,8.0,0.6797224465074932,0.625,2.5836011312691576,4.32188463997814,4.804479999999922,-2.0,0.29631922822013695,1.2202113937214296,
combo_value_hits2_risk_qqq_risk_020,anchor_x_risk,0.6376552248182945,8.306079999999668,8.0,0.6474921063687482,0.625,2.6840585704495696,4.096947517662256,4.728289999999644,-2.0,0.2640888880813919,1.3206688329018417,
combo_value_hits2_exit_t1_stop_045,anchor_x_exit,0.6368556764911033,8.330859999999927,8.0,0.6729625503688036,0.625,2.5738886149509597,4.4476431412755115,4.753069999999903,-2.0,0.2895593320814473,1.2104988774032317,
combo_value_hits2_exit_gld_t1_stop_045,anchor_x_exit,0.6368556764911033,8.330859999999927,8.0,0.6729625503688036,0.625,2.5738886149509597,4.4476431412755115,4.753069999999903,-2.0,0.2895593320814473,1.2104988774032317,
combo_value_hits2_risk_notional_070,anchor_x_risk,0.6297816064560096,8.156350000000327,8.0,0.647435246980661,0.625,2.7570312701955078,4.057653539041686,4.578560000000303,-2.0,0.2640320286933047,1.3936415326477798,
combo_value_hits2_exit_mfe_giveback_250_055_075,anchor_x_exit,0.6282188120430907,8.218069999999834,8.0,0.670041951390552,0.625,2.5503657043463748,4.1705227628795996,4.640279999999811,-2.0,0.2866387331031957,1.1869759667986468,
combo_t1stop040_signal_all_value_hits2,anchor_x_signal,0.6256343150942374,8.194819999999831,8.0,0.664827350522778,0.625,2.548187570019472,4.4476431412755115,4.617029999999808,-2.0,0.2814241322354217,1.184797832471744,
combo_value_hits2_exit_gld_t1_stop_040,anchor_x_exit,0.6256343150942374,8.194819999999831,8.0,0.664827350522778,0.625,2.548187570019472,4.4476431412755115,4.617029999999808,-2.0,0.2814241322354217,1.184797832471744,
combo_value_hits2_exit_t1_stop_038,anchor_x_exit,0.621134783146079,8.140209999999906,8.0,0.6615839575777777,0.625,2.537870501041903,4.4476431412755115,4.562419999999882,-2.0,0.27818073929042136,1.174480763494175,
combo_value_hits2_exit_t2r_160,anchor_x_exit,0.6203810244419735,8.155269999999902,8.0,0.6529709503592549,0.625,2.5423678486997585,4.450326800910436,4.577479999999879,-2.0,0.2695677320718986,1.1789781111520306,
priority_pair_risk_signal_dynamic_070_125_all_confirm_max3,priority_cross_pair,0.6142842373605851,7.484970000000132,8.0,0.7352133843343759,0.625,2.741597948698845,3.178149631153858,3.907180000000109,-2.0,0.3518101660470196,1.378208211151117,
combo_t1stop035_signal_all_value_hits2,anchor_x_signal,0.6136215590772934,8.049590000000025,8.0,0.6559943633474722,0.625,2.520750325419354,4.4476431412755115,4.471800000000002,-2.0,0.2725911450601159,1.1573605878716262,
combo_value_hits2_exit_gld_t1_stop_035,anchor_x_exit,0.6136215590772934,8.049590000000025,8.0,0.6559943633474722,0.625,2.520750325419354,4.4476431412755115,4.471800000000002,-2.0,0.2725911450601159,1.1573605878716262,
combo_value_hits2_exit_t2r_250,anchor_x_exit,0.6073198281059111,7.966219999999841,8.0,0.6535648591427945,0.625,2.504999839415694,4.4476431412755115,4.388429999999818,-2.0,0.2701616408554382,1.141610101867966,
remove::all.type_a_value_hits_min,active_key_ablation,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
phase6_all_regime_value2_no_second_entry,phase6_single,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
signal_all_value_hits2,signal_single,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_session_avoid_1100_1130,anchor_x_session,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_session_gld_compact_quality,anchor_x_session,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_session_gld_no_late,anchor_x_session,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_session_gld_avoid_lunch_late,anchor_x_session,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_session_qqq_morning_only,anchor_x_session,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_session_qqq_wider_morning,anchor_x_session,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1_stop_035,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1_stop_040,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1_stop_045,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_gld_t1r_095,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_gld_t1r_100,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_gld_t1r_105,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1r_110,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1r_114,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1r_120,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1r_130,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_qqq_t1r_140,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_all_t1_partial_50,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_gld_t1_partial_50,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_t2r_225,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_mfe_giveback_150_045_025,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_mfe_giveback_200_045_050,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_runner_48,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_runner_72,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_runner_96,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_max_hold_32,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_max_hold_40,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_max_hold_44,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_time_stop_mfe075,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_time_stop_mfe100,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_stall_44_mfe075_cur020,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_stall_60_mfe125_cur040,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_addon_off,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_addon_smaller_score18,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_exit_addon_later_score18,anchor_x_exit,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_type_c_aplus,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_score15,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_score16,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_source16,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_source17,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_source18,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_source_a_plus,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_wait8,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_wait12,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_wait20,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_source17_wait12,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_second_source_aplus_score15,anchor_x_second,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_signal_gld_value_hits2,anchor_x_signal,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_signal_qqq_value_hits2,anchor_x_signal,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
combo_value_hits2_signal_qqq_score_a15_b15,anchor_x_signal,0.6021563212448713,7.910759999999936,8.0,0.6476312493683737,0.625,2.494522186137979,4.4476431412755115,4.3329699999999125,-2.0,0.2642280310810174,1.1311324485902512,
