name,family,objective,robust_gate,train_net_return_pct,train_avg_r,train_total_trades,train_trades_per_month,train_max_dd_pct,train_dollar_profit_factor,oos_net_return_pct,oos_avg_r,oos_total_trades,oos_trades_per_month,oos_max_dd_pct,oos_dollar_profit_factor,oos_low_mfe_loss_rate,delta_oos_net_return_pct,delta_oos_trades,thesis
top3_pb30_qqq_trail6,combo,0.8641405241634752,True,161.80255999999633,0.7248478091126732,127.0,2.2975538178643733,13.846465000000082,2.269646527524582,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Strong train stack using tighter trail instead of no MFE giveback.
top3_pb30_qqq_no_mfe,combo,0.8613334964807045,True,160.59117499999803,0.733008217604139,126.0,2.2794628429205592,13.846465000000082,2.2796120777476143,11.316720000000059,0.6790717228686377,10.0,1.6948955916473318,3.461484110083319,3.3413822710956094,0.2,0.31897999999976356,0.0,"Best train stack: PB30 5-18, QQQ T1 1.0, no MFE giveback."
top4_pb30_qqq_no_mfe_ext,combo,0.8613334964807045,True,160.59117499999803,0.733008217604139,126.0,2.2794628429205592,13.846465000000082,2.2796120777476143,11.316720000000059,0.6790717228686377,10.0,1.6948955916473318,3.461484110083319,3.3413822710956094,0.2,0.31897999999976356,0.0,Best train stack plus QQQ extension control.
pb30_5_18_plus_qqq_t1_100,combo,0.8556627200834388,True,155.87698999999918,0.7158916712173422,126.0,2.2794628429205592,13.846465000000082,2.256330150724625,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Top two clean in-sample leads.
pb30_5_18_plus_trail6,combo,0.8520096481475499,True,150.5958849999963,0.7061585465969343,128.0,2.3156447928081874,13.846465000000082,2.2064737094504165,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,PB30 duration plus tighter post-T1 trail.
pb30_5_18_plus_no_mfe,combo,0.8498053784467294,True,149.88557999999753,0.714974380405314,127.0,2.2975538178643733,13.846465000000082,2.2187007497722506,11.316720000000059,0.6790717228686377,10.0,1.6948955916473318,3.461484110083319,3.3413822710956094,0.2,0.31897999999976356,0.0,PB30 duration plus no MFE giveback.
qqq_t1_100_plus_trail6,combo,0.8477833159594448,True,148.20461499999962,0.7066929319927059,127.0,2.2975538178643733,13.630124917638616,2.152058112603541,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,QQQ target plus tighter post-T1 trail.
qqq_t1_100_plus_no_mfe,combo,0.8451395963784281,True,147.12898999999666,0.7153697428768878,126.0,2.2794628429205592,13.68096425557316,2.160790235882723,11.316720000000059,0.6790717228686377,10.0,1.6948955916473318,3.461484110083319,3.3413822710956094,0.2,0.31897999999976356,0.0,QQQ target plus no MFE giveback.
pb30_duration_5_18,signal,0.8443866373579518,True,145.38091499999683,0.6979994859146234,127.0,2.2975538178643733,13.846465000000082,2.1955444170573215,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Best clean signal-duration lead.
disable_structure_trail,risk_check,0.8438585728720374,False,208.8577749999979,2.088925118345099,108.0,1.953825293931908,22.67561949891134,2.862009545686552,9.397530000000348,0.5705696874923329,10.0,1.6948955916473318,3.461484110083319,2.9525671579148502,0.2,-1.6002099999999473,0.0,Risky no-trail ablation.
qqq_t1_100,management,0.8397765984940992,True,142.67066499999868,0.698264162793399,126.0,2.2794628429205592,13.679582459320565,2.13849912568109,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Best clean QQQ management lead.
trail_after_t1_6,management,0.8367375618932427,True,137.9000149999978,0.6885809482908366,128.0,2.3156447928081874,13.62955628213822,2.0937227065057438,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Slightly tighter post-T1 structure/VWAP trail.
disable_mfe_giveback,management,0.8346654206683866,True,137.2995499999971,0.6978848381374647,127.0,2.2975538178643733,13.680119032443919,2.104561976588333,11.316720000000059,0.6790717228686377,10.0,1.6948955916473318,3.461484110083319,3.3413822710956094,0.2,0.31897999999976356,0.0,"Remove MFE giveback, which improved train without DD increase."
t2_300,exit,0.8335501536020562,False,136.37241499999556,0.6853053589112222,127.0,2.2975538178643733,13.780274065537098,2.097029834467804,10.596390000000014,0.6352007612414535,10.0,1.6948955916473318,3.461484110083319,3.1950011496610045,0.2,-0.4013500000002814,0.0,Larger T2 train-only lead.
addon_cautious,management,0.8327034619620699,False,135.66854999999796,0.6624616763521455,127.0,2.2975538178643733,13.812268831507811,2.0952232835963307,9.959309999999926,0.614347677273034,10.0,1.6948955916473318,3.461484110083319,2.8273493891900277,0.2,-1.0384300000003694,0.0,Small continuation add-on.
qqq_partial_060,exit,0.8318706580064834,False,134.97622999999618,0.6841284850661697,127.0,2.2975538178643733,13.767558002682412,2.093134360801404,10.407270000000251,0.6312982331794027,10.0,1.6948955916473318,3.461484110083319,3.060054157412804,0.2,-0.5904700000000442,0.0,Let QQQ runners retain more size.
t1_stop_025,exit,0.8311850610997571,False,134.406284999997,0.6872880763927074,127.0,2.2975538178643733,13.680465914244428,2.0863747575169453,10.763760000000257,0.6476912053516165,10.0,1.6948955916473318,3.461484110083319,3.2296711969524674,0.2,-0.23398000000003805,0.0,Looser post-T1 stop lock.
pb30_value_touch_limit,entry,0.8308103750311653,True,135.21693499999697,0.6961472984851585,126.0,2.2794628429205592,12.857520156527965,2.107807145100194,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,PB30 EMA20 value-touch limit route.
max_extension_qqq_175,discrimination,0.829813485816622,True,135.5103399999981,0.6874791703708555,125.0,2.261371867976745,13.68028240169751,2.1487187338168856,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Small clean QQQ extension filter.
baseline_round8,baseline,0.8295053670227686,True,133.0099349999961,0.6808986501547853,127.0,2.2975538178643733,13.68037642663078,2.082265699654456,10.997740000000295,0.6610659176816842,10.0,1.6948955916473318,3.461484110083319,3.2781392477695532,0.2,0.0,0.0,Latest round-8 optimized baseline.
risk_temper_020,risk,0.7895053670227685,False,80.63907999999897,0.6808672330328027,127.0,2.2975538178643733,9.25457560042244,2.074950814173863,8.03575000000013,0.6611398265003416,10.0,1.6948955916473318,2.217858521826574,3.3760067888020284,0.2,-2.9619900000001653,0.0,Lower risk stack for DD control.
top3_trail6_plus_risk_temper,combo_risk,0.7895053670227685,False,94.62334499999925,0.7248524674564772,127.0,2.2975538178643733,9.211679327580958,2.21754119929099,8.03575000000013,0.6611398265003416,10.0,1.6948955916473318,2.217858521826574,3.3760067888020284,0.2,-2.9619900000001653,0.0,Trail-based train stack with lower risk for DD.
top3_plus_risk_temper,combo_risk,0.7881555357516774,False,93.94905999999959,0.732979756129773,126.0,2.2794628429205592,9.25424568668019,2.2336297532150944,8.291140000000071,0.6792778141879747,10.0,1.6948955916473318,2.217858521826574,3.4483495845169796,0.2,-2.7066000000002237,0.0,Best train stack with lower risk for DD.
type_a_value_hits2,discrimination,0.7663823998846657,False,121.78583499999944,0.7592053455223724,97.0,1.7548245695499545,10.81059500000032,2.4427403004707906,12.818050000000106,0.7767712840514988,9.0,1.5254060324825987,3.461484110083319,5.592949717107199,0.1111111111111111,1.820309999999811,-1.0,"Higher-quality value interaction, lower frequency."
no_trail_profit_floor,risk_check,0.756609082949327,False,194.9226499999989,1.9150205917075158,113.0,2.0442801686509777,21.6077853122931,2.8956724269674345,3.3942600000002416,0.17586286421864555,11.0,1.864385150812065,3.6491059743479717,1.526904371232686,0.2727272727272727,-7.6034800000000535,1.0,High-return train lead but risky DD.
