name,extra,train_net,train_trades,train_avg_r,train_qqq_trades,train_qqq_avg_r,train_qqq_pnl,train_qqq_wr,train_gld_trades,train_gld_avg_r,train_qqq_req,train_qqq_fill,train_qqq_terminal,oos_net,oos_trades,oos_avg_r,oos_qqq_trades,oos_qqq_avg_r,oos_qqq_pnl,oos_qqq_wr,oos_gld_trades,oos_gld_avg_r,oos_qqq_req,oos_qqq_fill,oos_qqq_terminal
BASE,{},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_market_next,{'QQQ.entry_order_model': 'market_next_bar'},52.58314999999653,133.0,2.124026248455264,27.0,-0.0321986902295237,11271.749999999945,0.48148148148148145,106.0,2.6732533554787477,27,27,0,-11.072239999999889,17.0,-0.3154176324950562,9.0,-1.2494154385011103,-18805.84999999995,0.0,8.0,0.7353298992617544,9,9,0
qqq_stop_market,{'QQQ.entry_order_model': 'structure_stop_market'},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_adaptive,{'QQQ.entry_order_model': 'adaptive_structure_stop'},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_ttl8,{'QQQ.entry_order_ttl_hours': 8.0},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_ttl12,{'QQQ.entry_order_ttl_hours': 12.0},93.00100999999779,127.0,2.3243505943709866,21.0,0.5645142744675906,41219.85000000048,0.6666666666666666,106.0,2.672997412465057,22,21,1,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_stoplim016,{'QQQ.entry_stop_limit_atr_mult': 0.16},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_stoplim024,{'QQQ.entry_stop_limit_atr_mult': 0.24},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_stoplim040,{'QQQ.entry_stop_limit_atr_mult': 0.4},96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
qqq_adaptive_wide,"{'QQQ.entry_order_model': 'adaptive_structure_stop', 'QQQ.entry_adaptive_stop_limit_min_atr_mult': 0.08, 'QQQ.entry_adaptive_stop_limit_max_atr_mult': 0.5}",96.90008999999951,126.0,2.3525178578614763,20.0,0.6540577803433286,44172.69000000057,0.7,106.0,2.6729820234309387,22,20,2,3.577790000000023,10.0,0.3834032182873563,2.0,-1.023500170278813,-5101.310000000042,0.0,8.0,0.7351290654288986,7,2,5
