name,extra,train_net,train_trades,train_avg_r,train_pf,train_dd,train_excellent,train_qqq_trades,train_qqq_avg_r,train_qqq_pnl,train_qqq_wr,train_gld_trades,train_gld_avg_r,train_gld_pnl,train_gld_wr,oos_net,oos_trades,oos_avg_r,oos_pf,oos_dd,oos_excellent,oos_qqq_trades,oos_qqq_avg_r,oos_qqq_pnl,oos_qqq_wr,oos_gld_trades,oos_gld_avg_r,oos_gld_pnl,oos_gld_wr
final_qqq_context_shorts_aplus,{},998.9535350000014,127.0,0.6333554905391812,2.19912309811834,13.681289129848379,70.0,30.0,0.6413221966764465,157469.12500000233,0.7666666666666667,97.0,0.6308915608060064,312416.8299999942,0.5257731958762887,10.997740000000295,10.0,0.6610659176816842,3.2781392477695532,3.461484110083319,6.0,1.0,0.16819578516427353,305.0700000000222,1.0,9.0,0.7158292657391743,10692.669999999993,0.6666666666666666
final_gld_context_soft,"{""GLD.asset_context_enabled"": true}",998.9535350000014,127.0,0.6333554905391812,2.19912309811834,13.681289129848379,70.0,30.0,0.6413221966764465,157469.12500000233,0.7666666666666667,97.0,0.6308915608060064,312416.8299999942,0.5257731958762887,10.997740000000295,10.0,0.6610659176816842,3.2781392477695532,3.461484110083319,6.0,1.0,0.16819578516427353,305.0700000000222,1.0,9.0,0.7158292657391743,10692.669999999993,0.6666666666666666
final_gld_context_min_neg025,"{""GLD.asset_context_enabled"": true, ""GLD.asset_context_min_score"": -0.25}",998.9535350000014,127.0,0.6333554905391812,2.19912309811834,13.681289129848379,70.0,30.0,0.6413221966764465,157469.12500000233,0.7666666666666667,97.0,0.6308915608060064,312416.8299999942,0.5257731958762887,1.8036899999999005,6.0,0.14338646841783884,1.3797138183586553,3.902029300489493,2.0,1.0,0.16819578516427353,305.0700000000222,1.0,5.0,0.13842460506855186,1498.6199999999803,0.4
final_gld_context_min000,"{""GLD.asset_context_enabled"": true, ""GLD.asset_context_min_score"": 0.0}",979.0887649999971,125.0,0.6270622875343831,2.15402623362801,13.681289129848379,68.0,30.0,0.6413211457725124,156790.03500000233,0.7666666666666667,95.0,0.6225594901960265,293231.1499999945,0.5157894736842106,1.8036899999999005,6.0,0.14338646841783884,1.3797138183586553,3.902029300489493,2.0,1.0,0.16819578516427353,305.0700000000222,1.0,5.0,0.13842460506855186,1498.6199999999803,0.4
