category,is_evaluated,is_expectancy,is_expectancy_dollar,is_expected_total_r,is_guardrail_pass,is_losing_trades,is_max_drawdown_pct,is_net_profit,is_profit_factor,is_sharpe,is_sortino,is_tail_loss_r,is_total_trades,is_trades_per_month,is_win_rate,is_winning_trades,name,oos_expectancy,oos_expectancy_dollar,oos_expected_total_r,oos_losing_trades,oos_max_drawdown_pct,oos_net_profit,oos_profit_factor,oos_sharpe,oos_sortino,oos_strict_uplift,oos_tail_loss_r,oos_total_trades,oos_trades_per_month,oos_utility,oos_win_rate,oos_winning_trades,stage
weakness_targeted,True,0.12477258879131169,11.962934847579222,208.74454104786446,False,734,0.10522456734051734,20013.990000000038,1.5793240771884456,3.7962320142976242,4.6215721147991315,-1.0897381508028987,1673,72.33229758522727,0.5612671846981471,939,target__or5_rvol150,0.42028501419702513,22.387889908256877,45.81106654747574,35,0.011702561533140957,2440.2799999999997,3.108506501922499,7.334588977994537,11.607400974201738,True,-1.0070209702131803,109,55.29479166666667,0.16407836866000108,0.6788990825688074,74,targeted
weakness_targeted,True,0.13107030437011308,12.950959206174222,237.76153212738512,False,789,0.08841623423732374,23493.040000000037,1.6370541265949388,4.246570104606756,5.280175836959927,-1.0963407009227115,1814,78.42844460227272,0.5650496141124587,1025,target__or5_base_risk0065,0.3769766209303412,17.941008403361348,44.8602178907106,40,0.011516105797417046,2134.9800000000005,2.758067836526981,6.712834891985319,11.32112754465902,False,-1.0514447181107027,119,60.36770833333333,0.11308934196941384,0.6638655462184874,79,targeted
weakness_targeted,True,0.14766164293017256,14.593425647200503,245.26598890701663,False,710,0.08591209451639556,24239.680000000037,1.6546001525800216,4.275354850620917,5.139628756948869,-1.0905184185870043,1661,71.8134765625,0.5725466586393738,951,target__or5_entry1200,0.3817264484962047,21.3287962962963,41.22645643759011,34,0.01248950884921709,2303.51,2.947719989515251,6.7289274017105525,10.278529723284548,True,-1.0514447181107027,108,54.7875,0.09232821991097416,0.6851851851851852,74,targeted
weakness_targeted,True,0.135488685972338,13.744589345172054,244.1506121221531,False,785,0.0861856203354771,24767.75000000004,1.6469383479919857,4.346023914696949,5.535893960286508,-1.0934027874243666,1802,77.90962357954545,0.5643729189789123,1017,target__or5_score67_sizing,0.33837630474877634,18.95816666666667,40.60515656985316,42,0.012565148696657471,2274.9800000000005,2.795266767149882,6.667330224498776,10.14181083570139,False,-1.0471138798965902,120,60.875,0.0829774327930132,0.65,78,targeted
weakness_targeted,True,0.135488685972338,13.744589345172054,244.1506121221531,False,785,0.0861856203354771,24767.75000000004,1.6469383479919857,4.346023914696949,5.535893960286508,-1.0934027874243666,1802,77.90962357954545,0.5643729189789123,1017,target__or5_daily300_score67,0.33837630474877634,18.95816666666667,40.60515656985316,42,0.012565148696657471,2274.9800000000005,2.795266767149882,6.667330224498776,10.14181083570139,False,-1.0471138798965902,120,60.875,0.0829774327930132,0.65,78,targeted
pairwise_robust_singles,True,0.11440909015253922,11.619248251748244,196.3259987017573,True,809,0.03795408554432407,19938.629999999986,1.6743726533584469,4.521285151442188,5.692170496436232,-1.0713932751012054,1716,74.19140625,0.5285547785547785,907,combo__perturb__failure_stop_to_r__m0p1__plus__perturb__entry_window_end__1330,0.376949760335478,20.21596330275225,41.087523876567104,44,0.015252700007101081,2203.5399999999954,3.3166139257141,6.175396304045446,11.120022505471288,True,-0.8235901968132971,109,55.29479166666667,0.07188257736579633,0.5963302752293578,65,combination
atomic_parameter_grid,True,0.13434302022378122,14.125047512576879,240.33966318034462,False,776,0.08750957877012698,25269.710000000036,1.6350376428097195,4.27049267669235,5.281844801830971,-1.0936622288561013,1789,77.3475674715909,0.5662381218557854,1013,perturb__opening_range_bars__5,0.3434101999830689,18.668474576271194,40.52240359800213,41,0.012597547586217221,2202.880000000001,2.6216248049232957,6.566496987622329,9.316162252867278,False,-1.0514447181107027,118,59.86041666666667,0.0672485484655177,0.652542372881356,77,perturbation
weakness_targeted,True,0.13434302022378122,14.125047512576879,240.33966318034462,False,776,0.08750957877012698,25269.710000000036,1.6350376428097195,4.27049267669235,5.281844801830971,-1.0936622288561013,1789,77.3475674715909,0.5662381218557854,1013,target__or5_daily_stop300,0.3434101999830689,18.668474576271194,40.52240359800213,41,0.012597547586217221,2202.880000000001,2.6216248049232957,6.566496987622329,9.316162252867278,False,-1.0514447181107027,118,59.86041666666667,0.0672485484655177,0.652542372881356,77,targeted
weakness_targeted,True,0.13434302022378122,14.125047512576879,240.33966318034462,False,776,0.08750957877012698,25269.710000000036,1.6350376428097195,4.27049267669235,5.281844801830971,-1.0936622288561013,1789,77.3475674715909,0.5662381218557854,1013,target__or5_daily_stop250,0.3434101999830689,18.668474576271194,40.52240359800213,41,0.012597547586217221,2202.880000000001,2.6216248049232957,6.566496987622329,9.316162252867278,False,-1.0514447181107027,118,59.86041666666667,0.0672485484655177,0.652542372881356,77,targeted
weakness_targeted,True,0.13675410534911217,14.23874650251821,244.37958625886344,False,774,0.08752197251398064,25444.64000000004,1.639638810750208,4.289597287310429,5.296423642583339,-1.0949541678342287,1787,77.26109730113636,0.5668718522663683,1013,target__or5_orb_cap125,0.3434101999830689,18.668474576271194,40.52240359800213,41,0.012597547586217221,2202.880000000001,2.6216248049232957,6.566496987622329,9.316162252867278,False,-1.0514447181107027,118,59.86041666666667,0.0672485484655177,0.652542372881356,77,targeted
atomic_parameter_grid,True,0.10730353782646014,10.19301013024601,148.29348927616792,False,607,0.03975572484990017,14086.739999999987,1.6055406248871593,4.0146621845091435,4.443259025150441,-1.0704255797931794,1382,59.75088778409091,0.5607814761215629,775,perturb__pdh_avwap_cap_pct__0p006,0.4943477726598006,25.8812195121951,40.53651735810365,29,0.015018172451814363,2122.259999999998,3.5359494306164607,6.069512512963968,9.93298978712478,False,-0.8424373863043911,82,41.59791666666667,0.06367176467396736,0.6463414634146342,53,perturbation
atomic_parameter_grid,True,0.1346314384194305,13.975714285714286,196.02337433869081,True,631,0.039392407212748816,20348.64,1.7348875709385447,4.638127615363797,5.493302427779245,-1.0713679838241792,1456,62.950284090909086,0.5666208791208791,825,perturb__adaptive_trail_start_bars__30,0.4510740133041948,23.6872222222222,40.59666119737753,33,0.015006479018696605,2131.849999999998,3.406287036514472,5.927205883471767,10.455990489461431,False,-0.845179984102284,90,45.65625,0.05934198809295244,0.6333333333333333,57,perturbation
pairwise_robust_singles,True,0.11552859735437024,11.662348796241915,196.74520129449252,True,753,0.04082764542133395,19860.97999999998,1.6764127508069884,4.516489762862065,5.543348436231875,-1.0713932751012054,1703,73.62935014204545,0.557839107457428,950,combo__perturb__entry_window_end__1330__plus__perturb__mfe_conviction_floor_r__0p0,0.36775626647805426,19.499636363636302,40.45318931258597,41,0.014990522952945676,2144.959999999993,3.1474080451714856,5.999190059475794,10.668916761833316,True,-0.8235901968132971,110,55.802083333333336,0.05724538662238542,0.6272727272727273,69,combination
pairwise_robust_singles,True,0.12123835864427378,13.00901036269429,233.9900321834484,True,906,0.04118463493914059,25107.38999999998,1.745163280733166,5.076699252062411,6.637554926675119,-1.0760272823043995,1930,83.44371448863636,0.5305699481865285,1024,combo__perturb__failure_stop_to_r__m0p1__plus__perturb__rvol_threshold__1p1,0.36101713381061673,18.97776785714283,40.433918986789074,47,0.013772444375038643,2125.509999999997,3.0371974888580002,6.240553192443035,10.991744977534239,True,-1.0028390483850822,112,56.81666666666667,0.05537178673212541,0.5803571428571429,65,combination
atomic_counterfactual,True,0.11015795821848955,10.43517857142856,148.05229584564995,False,587,0.0394712057400157,14024.879999999985,1.616559004212419,3.98760974128332,4.395197102331091,-1.0700657719016102,1344,58.10795454545454,0.5632440476190477,757,ablate__pdh_avwap_cap_pct,0.5135183944054127,27.23454545454541,39.540916369216774,27,0.015048986760181049,2097.0599999999968,3.6254600996569555,6.10849678843628,9.851123923442382,False,-0.8775061658534048,77,39.061458333333334,0.05436106777941531,0.6493506493506493,50,ablation
pairwise_robust_singles,True,0.1192292665178079,14.096977898060436,264.3312838699801,True,954,0.044580887434052766,31252.999999999985,1.7066443516612113,5.184769238244639,7.049321409890108,-1.07670829270507,2217,95.85218394886363,0.5696887686062246,1263,combo__perturb__rvol_threshold__1p1__plus__perturb__entry_window_end__1330,0.30115355514087017,14.838905109489025,41.258037054299216,58,0.013876937550912703,2032.9299999999964,2.3999352688408964,5.700371226560958,8.515192372068439,False,-0.9853238420494345,137,69.49895833333333,0.053090388722300055,0.5766423357664233,79,combination
pairwise_robust_singles,True,0.11536633309137445,10.84477651767844,172.9341333039703,False,697,0.0352537703245424,16256.319999999982,1.668786753543602,4.319516539860591,5.048604792583518,-1.0674826574032839,1499,64.80939275568181,0.5350233488992662,802,combo__perturb__failure_stop_to_r__m0p1__plus__perturb__mfe_conviction_floor_r__0p0,0.4219581918449069,22.495531914893572,39.66407003342125,35,0.015027550101996768,2114.579999999996,3.6193561173803657,6.196835363995088,10.873112051401941,True,-0.845179984102284,94,47.68541666666667,0.053007440513293085,0.6276595744680851,59,combination
atomic_counterfactual,True,0.10792242589605092,9.963827913279133,159.29350062257114,False,650,0.04060920999438034,14706.61,1.5894995193930321,4.089006891800403,4.816813369082662,-1.0673466376558434,1476,63.81498579545454,0.559620596205962,826,ablate__stop_atr_multiple,0.4088826986589331,22.34677419354836,38.02609097528078,33,0.01032994873946288,2078.2499999999973,3.5986895577257263,6.031669666724568,13.089588811141741,False,-0.8065694377536707,93,47.178125,0.05288890497569139,0.6451612903225806,60,ablation
atomic_parameter_grid,True,0.10792242589605092,9.963827913279133,159.29350062257114,False,650,0.04060920999438034,14706.61,1.5894995193930321,4.089006891800403,4.816813369082662,-1.0673466376558434,1476,63.81498579545454,0.559620596205962,826,perturb__stop_atr_multiple__1p0,0.4088826986589331,22.34677419354836,38.02609097528078,33,0.01032994873946288,2078.2499999999973,3.5986895577257263,6.031669666724568,13.089588811141741,False,-0.8065694377536707,93,47.178125,0.05288890497569139,0.6451612903225806,60,perturbation
atomic_counterfactual,True,0.11304603092173003,11.615901948460076,179.85623519647248,True,696,0.031009404145368947,18480.89999999998,1.6479045270825265,4.491934609593044,5.187609349312181,-1.063621715627577,1591,68.7870205965909,0.562539283469516,895,ablate__use_combined_quality_gate,0.36649549704908013,20.102735849056575,38.8485226872025,39,0.011467923550435858,2130.889999999997,3.111694695220445,6.741785978617852,11.82204830966647,True,-0.8235901968132971,106,53.77291666666667,0.05236484479071253,0.6320754716981132,67,ablation
