window_start,window_end,trades,pnl_dollars,net_return_pct_on_initial,avg_r,win_rate,excellent_trades,excellent_rate,low_mfe_loss_rate,right_then_lost_rate,qqq_trades,qqq_pnl_dollars,qqq_avg_r,qqq_excellent_trades,gld_trades,gld_pnl_dollars,gld_avg_r,gld_excellent_trades
2021-05-01,2021-11-01,18,-3435.3200000003612,-3.4353200000003614,0.00324284021986924,0.5555555555555556,10,0.5555555555555556,0.3333333333333333,0.1111111111111111,3,2521.420000000003,0.6611804885414789,2,15,-5956.740000000364,-0.1283446894444527,8
2021-06-01,2021-12-01,18,9045.079999999441,9.045079999999443,0.48959310199278466,0.6666666666666666,12,0.6666666666666666,0.2222222222222222,0.1111111111111111,3,2521.420000000003,0.6611804885414789,2,15,6523.65999999944,0.45527562468304583,10
2021-07-01,2022-01-01,21,6181.379999999544,6.181379999999544,0.3982342499918201,0.6190476190476191,13,0.6190476190476191,0.2857142857142857,0.09523809523809523,6,-728.4699999999079,0.13188702006703137,3,15,6909.849999999451,0.5047731419617355,10
2021-08-01,2022-02-01,17,14311.989999999625,14.311989999999625,0.7953947195401125,0.7647058823529411,13,0.7647058823529411,0.23529411764705882,0.0,8,2502.9200000001038,0.28791454854282145,5,9,11809.069999999521,1.2464882048710382,8
2021-09-01,2022-03-01,18,16541.34499999957,16.54134499999957,0.6520231565179704,0.7222222222222222,13,0.7222222222222222,0.2777777777777778,0.0,8,4327.5250000000715,0.25452633808376385,5,10,12213.819999999494,0.9700206112653355,8
2021-10-01,2022-04-01,20,32886.62499999971,32.88662499999971,0.8608445963695806,0.75,15,0.75,0.25,0.0,10,9854.55500000011,0.4518788547620264,7,10,23032.069999999592,1.2698103379771346,8
2021-11-01,2022-05-01,20,27039.26499999955,27.039264999999546,0.6214671086390604,0.65,13,0.65,0.35,0.0,8,9218.115000000129,0.5281213202084181,6,12,17821.14999999942,0.6836976342594888,7
2021-12-01,2022-06-01,19,15184.404999999626,15.184404999999627,0.2544184285514089,0.5789473684210527,11,0.5789473684210527,0.42105263157894735,0.0,9,6051.585000000043,0.356170269413329,6,10,9132.819999999585,0.1628417717756806,5
2022-01-01,2022-07-01,21,33083.33499999961,33.083334999999614,0.624724948076915,0.6666666666666666,14,0.6666666666666666,0.3333333333333333,0.0,8,20306.62499999996,0.9806756831355751,7,13,12776.709999999657,0.4056783418869706,7
2022-02-01,2022-08-01,22,29411.89499999935,29.41189499999935,0.45925667035864576,0.5454545454545454,12,0.5454545454545454,0.4090909090909091,0.045454545454545456,6,17075.234999999946,1.0555685328573696,5,16,12336.659999999403,0.23563972192162433,7
